RK,Player,Ht,From,To,Tm,Lg,G#,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Handed,COLOR
1,John Stockton\stockjo01,6-1,1985,2003,UTA,NBA,1504,1300,47764,7039,13658,6194,11455,845,2203,4788,5796,966,3085,4051,15806,3265,315,4244,3942,19711,.515,.541,.384,.546,.826,.608,R,50
2,Karl Malone\malonka01,6-9,1986,2004,TOT,NBA,1476,1471,54852,13528,26210,13443,25900,85,310,9787,13188,3562,11406,14968,5248,2085,1145,4524,4578,36928,.516,.519,.274,.518,.742,.577,R,50
3,Kevin Garnett\garneke01,6-11,1996,2016,TOT,NBA,1462,1425,50418,10505,21142,10331,20510,174,632,4887,6190,3209,11453,14662,5445,1859,2037,3179,3561,26071,.497,.504,.275,.501,.789,.546,R,50
4,Kevin Willis\willike02,7-0,1985,2007,TOT,NBA,1424,891,38362,7095,14572,7055,14382,40,190,3023,4238,4132,7769,11901,1328,958,750,2520,4172,17253,.487,.491,.211,.488,.713,.525,R,50
5,Tim Duncan\duncati01,6-11,1998,2016,SAS,NBA,1392,1389,47368,10285,20334,10255,20166,30,168,5896,8468,3859,11232,15091,4225,1025,3020,3381,3304,26496,.506,.509,.179,.507,.696,.551,R,50
6,Jason Kidd\kiddja01,6-4,1995,2013,TOT,NBA,1391,1350,50111,6219,15557,4231,9856,1988,5701,3103,3954,1768,6957,8725,12091,2684,450,4003,2572,17529,.400,.429,.349,.464,.785,.507,R,50
7,Reggie Miller\millere01,6-7,1988,2005,IND,NBA,1389,1304,47619,8241,17499,5681,11013,2560,6486,6237,7026,883,3299,4182,4141,1505,299,2409,2730,25279,.471,.516,.395,.544,.888,.614,R,50
8,Clifford Robinson\robincl02,6-10,1990,2007,TOT,NBA,1380,844,42561,7389,16875,6136,13360,1253,3515,3560,5165,1852,4454,6306,3094,1402,1390,2502,4175,19591,.438,.459,.356,.475,.689,.512,R,50
9,Dirk Nowitzki\nowitdi01,7-0,1999,2017,DAL,NBA,1366,1335,47915,10517,22229,8777,17667,1740,4562,7057,8028,1431,9261,10692,3453,1142,1200,2397,3318,29831,.473,.497,.381,.512,.879,.579,R,50
10,Kobe Bryant\bryanko01,6-6,1997,2016,LAL,NBA,1346,1198,48637,11719,26200,9892,20654,1827,5546,8378,10011,1499,5548,7047,6306,1944,640,4010,3353,33643,.447,.479,.329,.482,.837,.550,R,50
11,Gary Payton\paytoga01,6-4,1991,2007,TOT,NBA,1335,1233,47117,8708,18698,7576,15128,1132,3570,3265,4480,1392,3877,5269,8966,2445,285,3030,3217,21813,.466,.501,.317,.496,.729,.528,R,50
12,Paul Pierce\piercpa01,6-7,1999,2017,TOT,NBA,1331,1285,45756,8655,19436,6517,13636,2138,5800,6916,8575,1091,6406,7497,4700,1751,743,3524,3628,26364,.445,.478,.369,.500,.807,.568,R,50
13,Jason Terry\terryja01,6-2,2000,2017,TOT,NBA,1330,675,40626,6804,15324,4596,9502,2208,5822,2752,3256,491,2683,3174,5322,1541,255,2374,2483,18568,.444,.484,.379,.516,.845,.554,R,50
14,Vince Carter\cartevi01,6-6,1999,2017,TOT,NBA,1321,954,42475,8810,20120,6804,14739,2006,5381,4726,5917,1579,4487,6066,4463,1399,799,2449,3612,24352,.438,.462,.373,.488,.799,.536,R,50
15,Buck Williams\willibu01,6-8,1982,1998,TOT,NBA,1307,1140,42464,6404,11661,6399,11631,5,30,3971,5979,4526,8491,13017,1646,1080,1100,2784,4267,16784,.549,.550,.167,.549,.664,.587,R,50
16,Andre Miller\millean02,6-3,2000,2016,TOT,NBA,1304,939,40268,6035,13104,5842,12216,193,888,4015,4975,1373,3422,4795,8524,1546,227,3121,2882,16278,.461,.478,.217,.468,.807,.532,R,50
17,Robert Parish\parisro01,7-0,1981,1997,TOT,NBA,1304,1134,37821,7832,14314,7832,14309,0,5,3421,4694,3674,8119,11793,1774,927,1812,2524,3377,19085,.547,.547,.000,.547,.729,.583,R,50
18,Ray Allen\allenra02,6-5,1997,2014,TOT,NBA,1300,1149,46344,8567,18955,5594,11526,2973,7429,4398,4920,1230,4042,5272,4361,1451,244,2709,2858,24505,.452,.485,.400,.530,.894,.580,R,50
19,Mark Jackson\jacksma01,6-1,1988,2004,TOT,NBA,1296,1092,39121,4793,10731,4059,8518,734,2213,2169,2818,1281,3682,4963,10334,1608,117,3155,2230,12489,.447,.477,.332,.481,.770,.522,R,50
20,Charles Oakley\oaklech01,6-8,1986,2004,TOT,NBA,1282,1159,40280,4835,10263,4767,9994,68,269,2679,3522,3924,8281,12205,3217,1351,384,2785,4421,12417,.471,.477,.253,.474,.761,.526,R,50
21,A.C. Green\greenac01,6-9,1986,2001,TOT,NBA,1278,832,36552,4544,9202,4420,8713,124,489,3119,4250,3354,6119,9473,1400,1033,546,1434,2436,12331,.494,.507,.254,.501,.734,.557,R,50
22,Terry Porter\portete01,6-3,1986,2002,TOT,NBA,1274,732,35354,5428,11734,4131,8374,1297,3360,3433,4107,715,3157,3872,7160,1583,181,2666,2203,15586,.463,.493,.386,.518,.836,.576,R,50
23,Otis Thorpe\thorpot01,6-9,1985,2001,TOT,NBA,1257,989,39822,6872,12593,6869,12529,3,64,3853,5612,3446,6924,10370,2730,840,501,2774,4146,17600,.546,.548,.047,.546,.687,.584,R,50
24,Hakeem Olajuwon\olajuha01,7-0,1985,2002,TOT,NBA,1238,1186,44222,10749,20991,10724,20867,25,124,5423,7621,4034,9714,13748,3058,2162,3830,3667,4383,26946,.512,.514,.202,.513,.712,.553,R,50
25,Steve Nash\nashst01,6-3,1997,2014,TOT,NBA,1217,1053,38069,6321,12892,4636,8953,1685,3939,3060,3384,643,2999,3642,10335,899,102,3478,1982,17387,.490,.518,.428,.556,.904,.605,R,50
26,Dale Ellis\ellisda01,6-7,1984,2000,TOT,NBA,1209,589,34778,7323,15275,5604,11009,1719,4266,2639,3365,1533,2668,4201,1746,974,183,1771,2480,19004,.479,.509,.403,.536,.784,.567,R,50
27,Juwan Howard\howarju01,6-9,1995,2013,TOT,NBA,1208,900,36654,6543,13950,6537,13900,6,50,3067,4014,2348,5080,7428,2663,818,312,2469,3493,16159,.469,.470,.120,.469,.764,.514,R,50
28,Shaquille O'Neal\onealsh01,7-1,1993,2011,TOT,NBA,1207,1197,41918,11330,19457,11329,19435,1,22,5935,11252,4209,8890,13099,3026,739,2732,3310,4146,28596,.582,.583,.045,.582,.527,.586,R,50
29,Derek Harper\harpede01,6-4,1984,1999,TOT,NBA,1199,883,37786,6191,13384,5121,10358,1070,3026,2554,3426,696,2188,2884,6577,1957,304,2334,2755,16006,.463,.494,.354,.503,.745,.537,R,50
30,Eddie Johnson\johnsed03,6-7,1982,1999,TOT,NBA,1199,479,32604,7727,16361,7165,14682,562,1679,3186,3792,1786,3046,4832,2550,739,180,2076,2962,19202,.472,.488,.335,.489,.840,.533,R,50
31,Dikembe Mutombo\mutomdi01,7-2,1992,2009,TOT,NBA,1196,997,36791,4169,8045,4169,8043,0,2,3391,4960,3808,8551,12359,1240,494,3289,2173,3383,11729,.518,.518,.000,.518,.684,.573,R,50
32,Joe Johnson\johnsjo02,6-7,2002,2017,TOT,NBA,1195,1081,42350,7576,17123,5679,12037,1897,5086,2717,3391,1042,3759,4801,4861,1034,245,2375,2150,19766,.442,.472,.373,.498,.801,.531,R,50
33,Terry Cummings\cummite01,6-9,1983,2000,TOT,NBA,1183,815,33898,8045,16628,8001,16479,44,149,3326,4711,3183,5447,8630,2190,1255,650,2200,3836,19460,.484,.486,.295,.485,.706,.520,R,50
34,Patrick Ewing\ewingpa01,7-0,1986,2002,TOT,NBA,1183,1122,40594,9702,19241,9683,19116,19,125,5392,7289,2752,8855,11607,2215,1136,2894,3537,4034,24815,.504,.507,.152,.505,.740,.553,R,50
35,Scottie Pippen\pippesc01,6-8,1988,2004,TOT,NBA,1178,1053,41069,7420,15700,6442,12698,978,3002,3122,4437,2068,5426,7494,6135,2307,947,3257,3329,18940,.473,.507,.326,.504,.704,.536,R,50
36,Horace Grant\grantho01,6-10,1988,2004,TOT,NBA,1165,1037,38621,5439,10695,5435,10632,4,63,2114,3053,3467,5976,9443,2575,1143,1136,1303,2832,12996,.509,.511,.063,.509,.692,.540,R,50
37,Shawn Marion\mariosh01,6-7,2000,2015,TOT,NBA,1163,1062,40097,7289,15056,6498,12666,791,2390,2331,2877,2732,7369,10101,2198,1759,1233,1750,2535,17700,.484,.513,.331,.510,.810,.542,R,50
38,Johnny Newman\newmajo01,6-7,1987,2002,TOT,NBA,1159,512,28435,4456,9671,3856,7885,600,1786,3228,3984,950,1586,2536,1688,1064,246,1656,3199,12740,.461,.489,.336,.492,.810,.558,R,50
39,Jamal Crawford\crawfja01,6-5,2001,2017,TOT,NBA,1153,433,35395,6149,15008,4145,9259,2004,5749,3430,3982,433,2293,2726,4065,1082,249,2244,1808,17732,.410,.448,.349,.476,.861,.529,R,50
40,Jerome Kersey\kerseje01,6-7,1985,2001,TOT,NBA,1153,571,28115,4723,10166,4665,9878,58,288,2321,3364,2330,4009,6339,2134,1439,799,1583,3455,11825,.465,.472,.201,.467,.690,.508,R,50
41,Danny Schayes\schayda01,6-11,1982,1999,TOT,NBA,1138,427,21975,2994,6228,2990,6198,4,30,2788,3461,1819,3852,5671,1299,560,840,1572,3494,8780,.481,.482,.133,.481,.806,.566,R,50
42,Detlef Schrempf\schrede01,6-9,1986,2001,TOT,NBA,1136,524,33597,5400,10995,4925,9759,475,1236,4486,5585,1871,5152,7023,3833,856,312,2268,3360,15761,.491,.505,.384,.513,.803,.586,R,50
43,Vlade Divac\divacvl01,7-1,1990,2005,TOT,NBA,1134,979,33838,5205,10510,5105,10084,100,426,2888,4176,2881,6445,9326,3541,1288,1631,2470,3609,13398,.495,.506,.235,.500,.692,.543,R,50
44,Richard Jefferson\jefferi01,6-7,2002,2017,TOT,NBA,1132,802,33515,5077,10950,4064,8258,1013,2692,3526,4588,906,3713,4619,2365,773,342,1744,2567,14693,.464,.492,.376,.510,.769,.566,R,50
45,Tony Parker\parketo01,6-2,2002,2017,SAS,NBA,1119,1106,35624,7305,14790,6816,13304,489,1486,3223,4276,420,2762,3182,6529,988,90,2687,1925,18322,.494,.512,.329,.510,.754,.550,R,50
46,Rick Mahorn\mahorri01,6-10,1981,1999,TOT,NBA,1117,613,25779,3098,6286,3093,6248,5,38,1562,2218,1814,5143,6957,1082,633,1007,1456,3499,7763,.493,.495,.132,.493,.704,.535,R,50
47,Kurt Thomas\thomaku01,6-9,1996,2013,TOT,NBA,1110,650,27160,3836,7894,3827,7862,9,32,1292,1701,1922,5406,7328,1204,724,841,1241,3579,8973,.486,.487,.281,.487,.760,.519,R,50
48,Rasheed Wallace\wallara01,6-10,1996,2013,TOT,NBA,1109,956,36243,6320,13529,5234,10301,1086,3228,2280,3162,1578,5826,7404,1994,1090,1460,1693,3259,16006,.467,.508,.336,.507,.721,.536,R,50
49,Tom Chambers\chambto01,6-10,1982,1998,TOT,NBA,1107,743,33922,7378,15749,7151,15009,227,740,5066,6274,1942,4761,6703,2283,885,627,2549,3742,20049,.468,.476,.307,.476,.807,.542,R,50
50,Robert Horry\horryro01,6-9,1993,2008,TOT,NBA,1107,480,27069,2820,6643,2025,4314,795,2329,1280,1762,1644,3625,5269,2343,1158,1035,1378,2680,7715,.425,.469,.341,.484,.726,.520,R,50
51,Michael Finley\finlemi01,6-7,1996,2010,TOT,NBA,1103,875,37996,6696,15095,5242,11215,1454,3880,2460,3032,1121,3683,4804,3245,996,323,1629,1812,17306,.444,.467,.375,.492,.811,.527,R,50
52,Herb Williams\willihe01,6-10,1982,1999,TOT,NBA,1102,607,28484,5037,10781,5029,10697,8,84,1862,2675,1624,4885,6509,1856,605,1605,1929,2876,11944,.467,.470,.095,.468,.696,.499,R,50
53,Dale Davis\davisda01,6-11,1992,2007,TOT,NBA,1094,863,29606,3592,6779,3592,6771,0,8,1522,2708,3303,5302,8605,978,691,1270,1090,2878,8706,.530,.530,.000,.530,.562,.546,R,50
54,Pau Gasol\gasolpa01,7-0,2002,2017,TOT,NBA,1094,1081,38231,7534,14769,7440,14477,94,292,4504,5979,2886,7471,10357,3591,569,1822,2482,2438,19666,.510,.514,.322,.513,.753,.565,R,50
55,Rod Strickland\stricro02,6-3,1989,2005,TOT,NBA,1094,740,33634,5418,11928,5223,11237,195,691,3432,4759,1172,2912,4084,7987,1616,215,2862,2048,14463,.454,.465,.282,.462,.721,.516,R,50
56,Mark West\westma01,6-10,1984,2000,TOT,NBA,1090,548,20213,2528,4356,2528,4352,0,4,1203,2117,1785,3562,5347,428,326,1403,1208,3136,6259,.580,.581,.000,.580,.568,.592,R,50
57,P.J. Brown\brownpj01,6-11,1994,2008,TOT,NBA,1089,990,33823,3852,8365,3844,8306,8,59,2158,2718,3002,5407,8409,1661,912,1116,1342,3218,9870,.460,.463,.136,.461,.794,.516,R,50
58,Ben Wallace\wallabe01,6-9,1997,2012,TOT,NBA,1088,912,32085,2569,5421,2562,5370,7,51,1109,2679,3444,7038,10482,1437,1369,2137,1061,2078,6254,.474,.477,.137,.475,.414,.474,R,50
59,Clyde Drexler\drexlcl01,6-7,1984,1998,TOT,NBA,1086,950,37537,8335,17673,7508,15070,827,2603,4698,5962,2615,4062,6677,6125,2207,719,2977,3285,22195,.472,.498,.318,.495,.788,.547,R,50
60,Dell Curry\curryde01,6-4,1987,2002,TOT,NBA,1083,99,23549,5090,11146,3845,8048,1245,3098,1245,1476,599,2018,2617,1909,985,238,1299,1795,12670,.457,.478,.402,.513,.843,.537,R,50
61,Antawn Jamison\jamisan01,6-8,1999,2014,TOT,NBA,1083,864,37638,7679,17024,6516,13659,1163,3365,3521,4860,2557,5600,8157,1761,1048,421,1714,2580,20042,.451,.477,.346,.485,.724,.523,R,50
62,Jeff Hornacek\hornaje01,6-3,1987,2000,TOT,NBA,1077,910,33964,5929,11957,5101,9902,828,2055,2973,3390,919,2727,3646,5281,1536,226,1971,2364,15659,.496,.515,.403,.530,.877,.582,R,50
63,Dominique Wilkins\wilkido01,6-7,1983,1999,TOT,NBA,1074,995,38113,9963,21589,9252,19358,711,2231,6031,7438,2950,4219,7169,2677,1378,642,2669,2061,26668,.461,.478,.319,.478,.811,.536,R,50
64,Charles Barkley\barklch01,6-6,1985,2000,TOT,NBA,1073,1012,39330,8435,15605,7897,13585,538,2020,6349,8643,4260,8286,12546,4215,1648,888,3376,3287,23757,.541,.581,.266,.558,.735,.612,R,50
65,Byron Scott\scottby01,6-3,1984,1997,TOT,NBA,1073,717,30152,5918,12268,5143,10175,775,2093,2486,2985,677,2310,2987,2729,1224,276,1597,2051,15097,.482,.505,.370,.514,.833,.556,R,50
66,Michael Jordan\jordami01,6-6,1985,2003,TOT,NBA,1072,1039,41011,12192,24537,11611,22759,581,1778,7327,8772,1668,5004,6672,5633,2514,893,2924,2783,32292,.497,.510,.327,.509,.835,.569,R,50
67,Bill Laimbeer\laimbbi01,6-11,1981,1994,TOT,NBA,1068,861,33956,5574,11198,5372,10579,202,619,2440,2916,2819,7581,10400,2184,710,965,1594,3633,13790,.498,.508,.326,.507,.837,.552,R,50
68,Tyrone Corbin\corbity01,6-6,1986,2001,TOT,NBA,1065,458,27657,3918,8584,3720,7921,198,663,1732,2191,1726,3320,5046,1894,1228,270,1310,2627,9766,.456,.470,.299,.468,.791,.511,R,50
69,Elton Brand\brandel01,6-8,2000,2016,TOT,NBA,1058,868,34910,6599,13185,6597,13164,2,21,3627,4929,3304,5736,9040,2184,940,1828,2060,3115,16827,.500,.501,.095,.501,.736,.548,R,50
70,Olden Polynice\polynol01,6-11,1988,2004,TOT,NBA,1058,658,24884,3557,7037,3552,7011,5,26,1146,2141,2730,4380,7110,744,516,651,1170,2835,8265,.505,.507,.192,.506,.535,.518,R,50
71,Shawn Kemp\kempsh01,6-10,1990,2003,TOT,NBA,1051,728,29293,5505,11278,5472,11159,33,119,4304,5805,3026,5808,8834,1704,1185,1279,2766,3826,15347,.488,.490,.277,.490,.741,.555,R,50
72,Rashard Lewis\lewisra02,6-10,1999,2014,TOT,NBA,1049,842,33541,5644,12479,3857,7854,1787,4625,2504,3111,1418,4015,5433,1765,1115,541,1577,2430,15579,.452,.491,.386,.524,.805,.563,R,50
73,Elden Campbell\campbel01,6-11,1991,2005,TOT,NBA,1044,671,25776,4062,8835,4060,8798,2,37,2679,3832,1880,4236,6116,1199,702,1602,1367,3006,10805,.460,.461,.054,.460,.699,.513,R,50
74,Chauncey Billups\billuch01,6-3,1998,2014,TOT,NBA,1043,937,33008,4738,11413,2908,6688,1830,4725,4496,5029,480,2512,2992,5636,1051,168,2138,2169,15802,.415,.435,.387,.495,.894,.580,R,50
75,Danny Ainge\aingeda01,6-4,1982,1995,TOT,NBA,1042,508,27755,4643,9905,3641,7254,1002,2651,1676,1980,695,2073,2768,4199,1133,132,1566,2549,11964,.469,.502,.378,.519,.846,.555,R,50
76,Boris Diaw\diawbo01,6-8,2004,2017,TOT,NBA,1035,552,28298,3750,7588,3280,6200,470,1388,1043,1453,1236,3328,4564,3613,642,503,1868,2242,9013,.494,.529,.339,.525,.718,.548,R,50
77,LeBron James\jamesle01,6-8,2004,2017,TOT,NBA,1035,1034,40284,10149,20327,8723,16153,1426,4174,6353,8564,1252,6194,7446,7236,1726,800,3519,1926,28077,.499,.540,.342,.534,.742,.583,R,50
78,Tyson Chandler\chandty01,7-1,2002,2017,TOT,NBA,1030,826,29311,3355,5648,3355,5638,0,10,2274,3517,3277,6377,9654,867,585,1275,1548,3015,8984,.594,.595,.000,.594,.647,.624,R,50
79,Joe Smith\smithjo02,6-10,1996,2011,TOT,NBA,1030,619,27022,4325,9512,4295,9386,30,126,2528,3200,2456,4119,6575,1010,606,868,1290,2974,11208,.455,.458,.238,.456,.790,.513,R,50
80,Grant Hill\hillgr01,6-8,1995,2013,TOT,NBA,1026,972,34776,6345,13126,6126,12429,219,697,4228,5498,1176,4993,6169,4252,1248,576,2459,2377,17137,.483,.493,.314,.492,.769,.551,R,50
81,Moses Malone\malonmo01,6-10,1981,1995,TOT,NBA,1024,784,33928,7139,14713,7131,14639,8,74,6746,8613,4754,6866,11620,1382,815,1250,2958,2189,21032,.485,.487,.108,.485,.783,.568,R,50
82,Mike Miller\millemi01,6-8,2001,2017,TOT,NBA,1023,570,27717,4011,8734,2425,4836,1586,3898,1351,1757,632,3721,4353,2652,571,229,1555,2036,10959,.459,.501,.407,.550,.769,.576,R,50
83,Joe Dumars\dumarjo01,6-3,1986,1999,DET,NBA,1018,944,35139,5994,13026,5004,10434,990,2592,3423,4059,671,1532,2203,4612,902,83,2084,1826,16401,.460,.480,.382,.498,.843,.554,R,50
84,Antonio McDyess\mcdyean01,6-9,1996,2011,TOT,NBA,1015,645,28053,5046,10161,5039,10101,7,60,2128,3178,2478,5160,7638,1300,782,1102,1623,3077,12227,.497,.499,.117,.497,.670,.529,R,50
85,Kyle Korver\korveky01,6-7,2004,2017,TOT,NBA,1011,417,26834,3479,7864,1487,3227,1992,4637,1131,1286,312,2829,3141,1854,714,346,1112,2171,10081,.442,.461,.430,.569,.879,.598,R,50
86,Jermaine O'Neal\onealje01,6-11,1997,2014,TOT,NBA,1011,697,27364,5144,11025,5130,10930,14,95,3007,4208,1991,5270,7261,1369,470,1820,1872,2896,13309,.467,.469,.147,.467,.715,.517,R,50
87,Ron Harper\harpero01,6-6,1987,2001,TOT,NBA,1009,967,31199,5326,11946,4803,10135,523,1811,2735,3799,1322,2987,4309,3916,1716,729,2251,2324,13910,.446,.474,.289,.468,.720,.511,R,50
88,Nazr Mohammed\mohamna01,6-10,1999,2016,TOT,NBA,1005,354,15891,2402,4939,2402,4931,0,8,1023,1599,1808,2900,4708,375,432,639,919,2156,5827,.486,.487,.000,.486,.640,.516,R,50
89,Grant Long\longgr01,6-8,1989,2003,TOT,NBA,1003,673,28514,3472,7440,3389,7147,83,293,2491,3272,2168,3986,6154,1716,1199,366,1628,2957,9518,.467,.474,.283,.472,.761,.536,R,50
90,Mike Bibby\bibbymi01,6-1,1999,2012,TOT,NBA,1001,950,33962,5410,12412,3893,8413,1517,3999,2361,2943,529,2574,3103,5517,1172,149,2134,1931,14698,.436,.463,.379,.497,.802,.536,R,50
91,Glen Rice\ricegl01,6-7,1990,2004,TOT,NBA,1000,876,34985,6776,14867,5217,10971,1559,3896,3225,3813,946,3441,4387,2097,958,265,1733,2361,18336,.456,.476,.400,.508,.846,.554,R,50
92,Hedo Turkoglu\turkohe01,6-10,2001,2015,TOT,NBA,997,571,26695,3851,9034,2605,5788,1246,3246,2074,2645,647,3324,3971,2832,750,299,1578,2403,11022,.426,.450,.384,.495,.784,.540,R,50
93,Sam Mitchell\mitchsa01,6-6,1990,2002,TOT,NBA,994,322,22257,3220,7206,3155,6914,65,292,2131,2719,1251,2460,3711,1089,548,301,838,2509,8636,.447,.456,.223,.451,.784,.514,R,50
94,Sam Cassell\cassesa01,6-3,1994,2008,TOT,NBA,993,690,29812,5698,12558,5026,10529,672,2029,3567,4144,618,2603,3221,5939,1058,163,2418,2744,15635,.454,.477,.331,.480,.861,.544,R,50
95,Antoine Carr\carran01,6-9,1985,2000,TOT,NBA,987,168,19780,3663,7286,3657,7240,6,46,1844,2364,1151,2233,3384,1086,361,925,1187,3063,9176,.503,.505,.130,.503,.780,.551,R,50
96,Erick Dampier\dampier01,6-11,1997,2012,TOT,NBA,987,771,24003,2784,5595,2782,5579,2,16,1739,2779,2723,4282,7005,817,330,1398,1435,2869,7309,.498,.499,.125,.498,.626,.536,R,50
97,LaSalle Thompson\thompla01,6-10,1983,1997,TOT,NBA,985,516,21238,3136,6376,3132,6350,4,26,1530,2075,2123,4566,6689,1139,741,972,1646,3143,7806,.492,.493,.154,.492,.737,.535,R,50
99,Hersey Hawkins\hawkihe01,6-3,1989,2001,TOT,NBA,983,896,32034,4889,10612,3663,7504,1226,3108,3466,3985,825,2729,3554,2860,1622,302,1828,2043,14470,.461,.488,.394,.518,.870,.585,R,50
